url,appId,title,summary,developer,icon,score,price,free
https://play.google.com/store/apps/details?id=com.awesomegames.blockbornesurvivalgames,com.awesomegames.blockbornesurvivalgames,Blockborne Survival Games,A hostile existence between worlds has enslave you in the War of the Dead,Awesome Games Now,//lh3.googleusercontent.com/6UMNoUpILrpFgMAIBxn0cCtaBZdYVKDB_eXLuzaXnppFpzyFmgFTt_yKH6_mtuJv_SM=w340,3.7,0,true
https://play.google.com/store/apps/details?id=com.wPainFreeAgainRealTimeLocater,com.wPainFreeAgainRealTimeLocater,Pain Free Living,"Proven Arthritis, Fybromialgia, Lupus, Restless Leg Pain Relief + Hundreds More!",Chris Icenogle,//lh3.ggpht.com/XxxJYCuaE1SaFyMuuGwLgMxPHGtVZCfAsbOP44fqI3ivf4CoEstJGeaRCD9MXY2xlw=w340,4.8,0,true
https://play.google.com/store/apps/details?id=com.infinitygamesproduction.td,com.infinitygamesproduction.td,Tower Defense 3D,Tower Defense 3D -  world after the cataclysm changed and will never be the same,Infinity Games Production,//lh5.ggpht.com/sANgeupGaVrHlDJuG2Ht7BPy_cCiUAUPrNTEfPJcgwc-WLCS4g_XqkdG51k8YLyvnGg=w340,3.5,0,true
https://play.google.com/store/apps/details?id=com.iqmreader,com.iqmreader,InterQual Mobile,"Your InterQual book available on your mobile device, anytime, anywhere!",McKesson Corp,//lh6.ggpht.com/gx5f6o7GtkdZO1SKPyS-tkewj6Afe9JotfXgkEeqhifjHzHT2hj3Je3Y_CluuBMGJ1g=w340,4,0,true
https://play.google.com/store/apps/details?id=com.cal.waterspinkler,com.cal.waterspinkler,Water Sprinkler Calculation,Water Sprinkler Calculation Systems For Calculation design  in PIPE Automatic,FrankEngineer,//lh4.ggpht.com/pkZKTbDRmbZvA1Chg39JDOEXeUfcig_oT3BiSkhpVG_A34tXn9hLqZUjpZtHDm-z5Q=w340,3.9,0,true
https://play.google.com/store/apps/details?id=com.qingping,com.qingping,Dsoid,A NIntendo DS Emulator,Qingping He,https://lh5.ggpht.com/AePElmaM2mSTPHMGdlR-xuA_hiEuOyLoINJIbpZWfMAdzqjDDu_DzeL6RyKyIuqmImY=w340,3.1,0,true
https://play.google.com/store/apps/details?id=bedsider.reminders,bedsider.reminders,Bedsider Reminders,"Remembering your pill, patch, ring, or shot just got a lot easier.",Bedsider,//lh3.googleusercontent.com/Z0Tkisqcg54CK9dFMj55TxgNw4CfcgN9GNlLX3lvE0qT_Mf3aGc_7B0iNfF1rT_3ae0=w340,1.6,0,true
https://play.google.com/store/apps/details?id=com.mobincube.android.sc_1MXNL,com.mobincube.android.sc_1MXNL,Stop Smoking Method,"Everything you need to quit soon , the best method in Spanish",SN Aplicaciones,//lh5.ggpht.com/JKpB_U5es2vcjwm7Bi2ItuZS2zQRUIFj7Q-aeVClNIvTAmmG46qv1Tm9lT5F3bhe28BY=w340,2.9,0,true
https://play.google.com/store/apps/details?id=com.xsound.aurorademo,com.xsound.aurorademo,Aurora: Quarantine Demo,"An adventure game, merging the balance ball genre with an interesting story.",ForthWardStudios,//lh3.googleusercontent.com/XaN9ud_WkkG-EjWUuGFThNbpEN7Y7sgWo7VKmU6YS4EbsURlYmYERNt3x3n8M4HS4GE=w340,4.4,0,true
https://play.google.com/store/apps/details?id=com.lukasoft.android.voicecontrol,com.lukasoft.android.voicecontrol,KLets - Voice control,"Place calls, send SMS and a lot more just talking. Almost Hands & Eyes free.",Luca De Petrillo,//lh5.ggpht.com/3xGkk7OBupERmTCKqVkwGaLwO-VdxJyWQSdgoCNCb8WR2bqrhjmENXNwn2MZXcW2yQ=w340,3.7,0,true
